RBP	variable	value
TRIM26	hsa-let-7a-2	0
SART3	hsa-let-7a-2	0
RBBP6	hsa-let-7a-2	0
CRTAP	hsa-let-7a-2	0
P3H1	hsa-let-7a-2	2.27272727272727
TRA2A	hsa-let-7a-2	0.740629158193367
TRA2B	hsa-let-7a-2	1.90758994388086
WWP1	hsa-let-7a-2	0
WWP2	hsa-let-7a-2	0
CPSF1	hsa-let-7a-2	0
CPSF2	hsa-let-7a-2	0
CPSF3	hsa-let-7a-2	0
CPSF4	hsa-let-7a-2	0
NUDT21	hsa-let-7a-2	0.173611111111111
CPSF6	hsa-let-7a-2	0
CPSF7	hsa-let-7a-2	0
CSTF2	hsa-let-7a-2	0
CSTF3	hsa-let-7a-2	0
FIP1L1	hsa-let-7a-2	0
WDR33	hsa-let-7a-2	0
SYMPK	hsa-let-7a-2	2.26649799704828
EPRS	hsa-let-7a-2	1.09030954182908
RARS	hsa-let-7a-2	0.498917819232403
IARS	hsa-let-7a-2	1.6625227863024
LARS	hsa-let-7a-2	2.80913091309131
DARS	hsa-let-7a-2	0.214776197465877
QARS	hsa-let-7a-2	0.158831003811944
MARS	hsa-let-7a-2	2.67271171517722
KARS	hsa-let-7a-2	0.0509683995922528
AIMP1	hsa-let-7a-2	0.165837479270315
AIMP2	hsa-let-7a-2	0.22075055187638
ZNF385A	hsa-let-7a-2	0
LARP7	hsa-let-7a-2	0
DZIP3	hsa-let-7a-2	0
TIAL1	hsa-let-7a-2	0
MYEF2	hsa-let-7a-2	0
RBFOX2	hsa-let-7a-2	0
KNOP1	hsa-let-7a-2	0
DHX37	hsa-let-7a-2	0
DDX21	hsa-let-7a-2	0.7954688470182
LRPPRC	hsa-let-7a-2	1.85454801058813
RBM45	hsa-let-7a-2	0
RBMS1	hsa-let-7a-2	0
RBMS2	hsa-let-7a-2	0
HARS2	hsa-let-7a-2	0
SUGP2	hsa-let-7a-2	0.290697674418605
MATR3	hsa-let-7a-2	1.38084081602064
YBX3	hsa-let-7a-2	3.1342599458184
YBX1	hsa-let-7a-2	3.3374125348985
YBX2	hsa-let-7a-2	1.30718954248366
C1QBP	hsa-let-7a-2	2.93587656798944
PTBP1	hsa-let-7a-2	1.05671254394805
PTBP3	hsa-let-7a-2	0
FAM98A	hsa-let-7a-2	3.66444642764149
FAM98B	hsa-let-7a-2	1.54320987654321
MTERF3	hsa-let-7a-2	0
PTCD3	hsa-let-7a-2	1.0211836230645
TRIM56	hsa-let-7a-2	0
PDCD11	hsa-let-7a-2	0.186353392678804
UPF1	hsa-let-7a-2	2.40261324127547
NOL6	hsa-let-7a-2	0.108695652173913
ERAL1	hsa-let-7a-2	0.576036866359447
UTP20	hsa-let-7a-2	0.0776053215077605
QKI	hsa-let-7a-2	0
PUF60	hsa-let-7a-2	0
LSM10	hsa-let-7a-2	0
LSM11	hsa-let-7a-2	0
CASC3	hsa-let-7a-2	0
NONO	hsa-let-7a-2	0.331073819309931
SFPQ	hsa-let-7a-2	0.826669074359089
ZNF106	hsa-let-7a-2	0
DDX49	hsa-let-7a-2	0
CELF2	hsa-let-7a-2	0
CELF1	hsa-let-7a-2	0
PIP5K1A	hsa-let-7a-2	0
EIF2AK2	hsa-let-7a-2	0.090473811673079
LARP6	hsa-let-7a-2	0
ZC3H10	hsa-let-7a-2	0
C9ORF114	hsa-let-7a-2	0.769230769230769
SF1	hsa-let-7a-2	0
PUM1	hsa-let-7a-2	2.78277253680085
PUM2	hsa-let-7a-2	2.23993963782696
